SiteUrl,SPOResourceType,SiteTemplate,IsDocument,IsFolder,ItemPath,DocumentUniqueID,FileType,LastModifiedTime,CreatedBy,ModifiedBy,GroupId,RelatedGroupId,ChannelGroupId,ViewableByAnonymousUsers,ViewableByExternalUsers,SensitivityLabelID
https://contoso.sharepoint.com,SharePoint List Item,SITEPAGEPUBLISHING,TRUE,FALSE,https://contoso.sharepoint.com/SitePages/test.aspx,{4a239c93-3b7b-41a9-9cf5-7a9452f606e9},aspx,11/10/2024 2:02,tomt@contoso.onmicrosoft.com ,tomt@contoso.onmicrosoft.com ,,00000000-0000-0000-0000-000000000000,,FALSE,TRUE,
https://contoso.sharepoint.com,SharePoint List or DocLibrary,SITEPAGEPUBLISHING,FALSE,FALSE,https://contoso.sharepoint.com/SitePages/Forms/ByAuthor.aspx,{1d736f07-2105-42e1-85a4-99d342f08216},,11/10/2024 2:02,System Account,,,00000000-0000-0000-0000-000000000000,,FALSE,TRUE,
https://contoso.sharepoint.com,SharePoint List Item,SITEPAGEPUBLISHING,FALSE,FALSE,https://contoso.sharepoint.com/AppCatalog/DispForm.aspx?ID=1,{17c4d344-0596-4799-af12-a7db254776b4},sppkg,11/10/2024 2:01,tomt@contoso.onmicrosoft.com ,tomt@contoso.onmicrosoft.com ,,00000000-0000-0000-0000-000000000000,,FALSE,TRUE,
https://contoso.sharepoint.com,SharePoint List or DocLibrary,SITEPAGEPUBLISHING,FALSE,FALSE,https://contoso.sharepoint.com/AppCatalog/Forms/AllItems.aspx,{da6b7d61-9ed8-4a6d-b162-ea52529840ad},,10/10/2024 23:26,SharePoint App,,,00000000-0000-0000-0000-000000000000,,FALSE,TRUE,
https://contoso-my.sharepoint.com/personal/tomt_contoso_onmicrosoft_com,SharePoint List Item,SPSPERS,TRUE,FALSE,https://contoso-my.sharepoint.com/personal/tomt_contoso_onmicrosoft_com/Documents/Urban Smoke And Mirrors heat.docx,{82f2169f-56c2-43d4-89fb-db61772a0540},docx,9/10/2024 0:17,tomt@contoso.onmicrosoft.com ,tomt@contoso.onmicrosoft.com ,,00000000-0000-0000-0000-000000000000,,FALSE,TRUE,
https://contoso-my.sharepoint.com/personal/tomt_contoso_onmicrosoft_com,SharePoint List Item,SPSPERS,TRUE,FALSE,https://contoso-my.sharepoint.com/personal/tomt_contoso_onmicrosoft_com/Documents/Ultra Freeconomics focus.docx,{eeb755e9-09a0-43a6-84c3-ff1821122c0a},docx,8/10/2024 7:10,tomt@contoso.onmicrosoft.com ,tomt@contoso.onmicrosoft.com ,,00000000-0000-0000-0000-000000000000,,FALSE,TRUE,
https://contoso-my.sharepoint.com/personal/tomt_contoso_onmicrosoft_com,SharePoint List Item,SPSPERS,TRUE,FALSE,https://contoso-my.sharepoint.com/personal/tomt_contoso_onmicrosoft_com/Documents/Ambi Think Tank world.docx,{879af943-762d-438e-aeda-d3e31788027b},docx,4/10/2024 0:26,tomt@contoso.onmicrosoft.com ,tomt@contoso.onmicrosoft.com ,,00000000-0000-0000-0000-000000000000,,TRUE,TRUE,
https://contoso.sharepoint.com,SharePoint List or DocLibrary,SITEPAGEPUBLISHING,FALSE,FALSE,https://contoso.sharepoint.com/SiteAssets/Forms/AllItems.aspx,{11536d66-1f63-4787-a621-348ca73ed4be},,24/06/2024 1:18,tom ,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,FALSE,TRUE,
https://contoso.sharepoint.com,SharePoint List or DocLibrary,SITEPAGEPUBLISHING,FALSE,FALSE,https://contoso.sharepoint.com/Lists/Issue tracker/AllItems.aspx,{8d4352bc-294f-4343-8f8c-6b79b03e8f50},,24/06/2024 1:18,tom ,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,FALSE,TRUE,
https://contoso.sharepoint.com,SharePoint List or DocLibrary,SITEPAGEPUBLISHING,FALSE,FALSE,https://contoso.sharepoint.com/FormServerTemplates/Forms/All Forms.aspx,{78941382-5025-45d3-acfb-976eed5a9355},,3/06/2024 2:09,System Account,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,FALSE,TRUE,
https://contoso.sharepoint.com,SharePoint List or DocLibrary,SITEPAGEPUBLISHING,FALSE,FALSE,https://contoso.sharepoint.com/Lists/Events/calendar.aspx,{8fd0cc64-ae9a-4418-8c02-7f0858d70c64},,1/06/2024 16:04,System Account,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,FALSE,TRUE,
https://contoso.sharepoint.com,SharePoint Site Collection,SITEPAGEPUBLISHING,FALSE,TRUE,https://contoso.sharepoint.com,{00000000-0000-0000-0000-000000000000},aspx,1/06/2024 16:04, System Account , System Account ,00000000-0000-0000-0000-000000000000,,,FALSE,TRUE,
https://contoso.sharepoint.com,SharePoint List or DocLibrary,SITEPAGEPUBLISHING,FALSE,FALSE,https://contoso.sharepoint.com/Shared Documents/Forms/AllItems.aspx,{d23882fc-e097-4b01-bf0d-b6d7bb040368},,1/06/2024 16:04,System Account,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,FALSE,TRUE,
https://contoso.sharepoint.com,SharePoint List or DocLibrary,SITEPAGEPUBLISHING,FALSE,FALSE,https://contoso.sharepoint.com/Style Library/Forms/AllItems.aspx,{8c18e835-db6d-45d7-8489-9ebb4fa0043d},,1/06/2024 16:03,System Account,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,FALSE,TRUE,
